Neighborhood Name,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Belem,38.7,-9.2,Churrasqueira do Marquês,38.70399631558285,-9.199402378140045,BBQ Joint
Belem,38.7,-9.2,Adega de Belém,38.69725507422109,-9.202538959266919,Portuguese Restaurant
Belem,38.7,-9.2,Honorato Hamburgueres Artesanais,38.69745889950893,-9.203761270005383,Burger Joint
Belem,38.7,-9.2,A Padaria Portuguesa,38.69732679631216,-9.202661488506362,Bakery
Belem,38.7,-9.2,Pastelaria Versailles,38.69749436807076,-9.199163968374274,Breakfast Spot
Belem,38.7,-9.2,Restaurante Os Jerónimos,38.69736902614917,-9.203218076823887,Portuguese Restaurant
Belem,38.7,-9.2,Restaurante O Caniço,38.69689200018203,-9.202327457735407,BBQ Joint
Belem,38.7,-9.2,Igreja da Memória,38.70292073470184,-9.20235264252222,Church
Belem,38.7,-9.2,BananaCafe,38.69781977118564,-9.204366714556437,Bar
Belem,38.7,-9.2,Jeronymo,38.69731631236926,-9.202445371166075,Café
Belem,38.7,-9.2,Comptoir Parisien,38.696884482275316,-9.202668912187937,French Restaurant
Belem,38.7,-9.2,Pastéis de Cerveja,38.697231139931404,-9.20196113528588,Café
Belem,38.7,-9.2,Restaurante BemBelém,38.696876836134834,-9.202986626025835,Portuguese Restaurant
Belem,38.7,-9.2,Carvoeiro,38.69684076504668,-9.202882423685258,Seafood Restaurant
Belem,38.7,-9.2,Caseiro,38.69722871858408,-9.202201984609996,Portuguese Restaurant
Belem,38.7,-9.2,Museu da Presidência da República,38.697457595283865,-9.201320230828344,History Museum
Belem,38.7,-9.2,Samurai,38.69745020513979,-9.198939398625981,Japanese Restaurant
Belem,38.7,-9.2,Floresta De Belem,38.69692176822155,-9.20179390112822,Mediterranean Restaurant
Belem,38.7,-9.2,Estação Ferroviária de Belém,38.69617345427707,-9.198176523459004,Train Station
Belem,38.7,-9.2,Mr. Wrap,38.69762610441823,-9.204447910374542,Restaurant
Belem,38.7,-9.2,People Hostel,38.699264709873326,-9.20546317613327,Hostel
Belem,38.7,-9.2,Restaurante Sagitário,38.697368,-9.202054,Portuguese Restaurant
Belem,38.7,-9.2,Cais de Belém,38.69685153361381,-9.20281707124262,Restaurant
Belem,38.7,-9.2,McDonald's,38.696987904378155,-9.20334721609717,Fast Food Restaurant
Belem,38.7,-9.2,Square Thai,38.697474,-9.198256,Thai Restaurant
Belem,38.7,-9.2,Pensão Residencial Setubalense,38.69755714500329,-9.202314780811554,Bed & Breakfast
Belem,38.7,-9.2,Telepizza,38.69730051540361,-9.198110103607178,Pizza Place
Belem,38.7,-9.2,Jerónimos 8,38.698610103131465,-9.205079191480252,Hotel
Belem,38.7,-9.2,Quiosque De Belém,38.696842,-9.2015505,Food Stand
Belem,38.7,-9.2,Wine Guest,38.698536,-9.203967,Wine Bar
Belem,38.7,-9.2,Largo Da Memória,38.70306876458643,-9.202341824888782,Plaza
Belem,38.7,-9.2,Paragem Carris Mosteiro Dos Jerónimos,38.697394801491626,-9.20371026705946,Bus Station
